nodeID  	 x-coordinate  	y-coordinate
6134	528	105
6133	532	101
6132	532	101
6131	525	102
6130	523	78
6129	523	86
6128	523	86
6127	523	78
6126	523	76
6125	542	88
6124	522	101
6123	536	113
6122	534	111
6121	534	111
6120	521	100
6119	536	112
6118	412	134
6117	411	133
6116	410	133
6115	412	134
6114	414	134
6113	418	135
6112	453	154
6111	431	177
6110	406	174
6109	485	54
6108	483	53
6107	480	62
6106	480	62
6105	480	63
6104	480	62
6103	480	64
6102	480	61
6101	481	55
6100	481	55
6099	481	56
6098	481	57
6097	481	57
6096	481	58
6095	481	58
6094	480	59
6093	480	60
6092	480	60
6091	481	55
6090	481	55
6089	481	54
6088	481	57
6087	480	58
6086	480	58
6085	481	57
6084	481	57
6083	480	58
6082	481	58
6081	480	59
6080	480	59
6079	482	52
6078	480	58
6077	480	58
6076	480	64
6075	478	38
6074	477	56
6073	477	56
6072	470	95
6071	466	91
6070	480	64
6069	480	65
6068	480	66
6067	480	66
6066	477	93
6065	464	82
6064	464	82
6063	484	69
6062	486	72
6061	486	72
6060	486	73
6059	486	72
6058	487	73
6057	480	67
6056	481	67
6055	487	74
6054	487	73
6053	487	73
6052	483	69
6051	481	67
6050	481	67
6049	482	68
6048	483	69
6047	482	69
6046	484	69
6045	484	69
6044	483	69
6043	481	68
6042	481	68
6041	466	90
6040	467	91
6039	489	41
6038	495	46
6037	495	45
6036	492	45
6035	496	46
6034	496	52
6033	503	102
6032	502	102
6031	499	88
6030	504	88
6029	499	88
6028	502	98
6027	507	87
6026	515	120
6025	515	120
6024	514	120
6023	515	120
6022	516	120
6021	515	121
6020	514	119
6019	515	120
6018	505	103
6017	506	103
6016	507	104
6015	506	87
6014	506	87
6013	514	102
6012	514	99
6011	514	99
6010	514	101
6009	511	78
6008	247	265
6007	266	267
6006	267	267
6005	261	264
6004	327	253
6003	333	261
6002	328	254
6001	335	262
6000	343	262
5999	343	262
5998	353	286
5997	328	254
5996	351	261
5995	337	249
5994	277	255
5993	277	254
5992	283	269
5991	280	267
5990	277	281
5989	392	210
5988	392	211
5987	392	211
5986	391	210
5985	212	332
5984	212	333
5983	221	345
5982	222	338
5981	222	338
5980	222	339
5979	221	344
5978	222	340
5977	272	300
5976	272	300
5975	262	304
5974	262	304
5973	262	304
5972	263	287
5971	404	202
5970	393	196
5969	396	197
5968	400	201
5967	394	196
5966	200	300
5965	203	303
5964	204	303
5963	200	300
5962	381	230
5961	390	231
5960	395	226
5959	395	227
5958	394	217
5957	392	230
5956	392	230
5955	273	235
5954	278	234
5953	281	232
5952	279	233
5951	277	234
5950	278	235
5949	278	235
5948	269	246
5947	269	246
5946	255	252
5945	255	252
5944	262	245
5943	257	252
5942	259	255
5941	257	253
5940	256	252
5939	262	243
5938	266	243
5937	266	243
5936	265	240
5935	266	242
5934	262	240
5933	263	259
5932	260	256
5931	262	261
5930	254	248
5929	255	250
5928	271	250
5927	263	253
5926	262	241
5925	265	241
5924	265	241
5923	266	243
5922	262	251
5921	265	243
5920	267	254
5919	265	244
5918	264	244
5917	264	243
5916	266	245
5915	263	250
5914	263	250
5913	159	325
5912	170	310
5911	156	319
5910	172	315
5909	175	316
5908	215	278
5907	220	264
5906	348	188
5905	347	187
5904	346	187
5903	350	189
5902	182	293
5901	199	317
5900	206	323
5899	200	318
5898	196	316
5897	201	319
5896	207	307
5895	193	314
5894	194	315
5893	191	312
5892	192	313
5891	187	313
5890	264	329
5889	264	326
5888	274	281
5887	269	281
5886	272	277
5885	273	282
5884	268	284
5883	272	251
5882	274	251
5881	273	250
5880	280	271
5879	275	270
5878	276	270
5877	277	270
5876	280	271
5875	274	253
5874	275	254
5873	275	254
5872	273	252
5871	280	268
5870	279	259
5869	279	259
5868	397	178
5867	395	179
5866	396	180
5865	395	179
5864	397	178
5863	397	178
5862	397	178
5861	396	180
5860	396	178
5859	397	180
5858	400	177
5857	400	177
5856	350	261
5855	254	315
5854	253	315
5853	253	315
5852	228	289
5851	228	289
5850	221	280
5849	218	328
5848	215	326
5847	239	344
5846	237	342
5845	237	342
5844	229	335
5843	227	335
5842	222	338
5841	239	317
5840	251	310
5839	251	309
5838	240	318
5837	249	311
5836	247	309
5835	250	311
5834	242	307
5833	245	309
5832	248	314
5831	248	314
5830	225	307
5829	232	313
5828	235	315
5827	224	332
5826	232	293
5825	239	305
5824	229	311
5823	234	295
5822	273	249
5821	222	268
5820	235	254
5819	222	268
5818	222	266
5817	190	347
5816	189	338
5815	190	346
5814	189	340
5813	370	262
5812	373	265
5811	367	263
5810	330	206
5809	329	206
5808	335	210
5807	335	210
5806	324	202
5805	319	199
5804	329	221
5803	319	201
5802	331	223
5801	330	221
5800	348	224
5799	348	224
5798	346	223
5797	354	227
5796	354	227
5795	358	229
5794	334	223
5793	361	232
5792	362	232
5791	363	231
5790	356	237
5789	361	232
5788	360	232
5787	361	231
5786	361	231
5785	369	228
5784	370	229
5783	377	227
5782	364	228
5781	365	224
5780	365	223
5779	391	191
5778	390	191
5777	386	189
5776	388	190
5775	386	188
5774	383	183
5773	383	183
5772	384	185
5771	384	184
5770	391	181
5769	384	184
5768	384	184
5767	384	184
5766	384	183
5765	384	183
5764	384	183
5763	388	182
5762	389	183
5761	362	154
5760	363	158
5759	363	156
5758	362	154
5757	362	154
5756	367	161
5755	371	167
5754	358	185
5753	359	187
5752	364	189
5751	296	288
5750	301	319
5749	298	311
5748	302	322
5747	292	302
5746	292	302
5745	302	322
5744	302	321
5743	307	288
5742	318	292
5741	306	331
5740	299	264
5739	298	265
5738	294	266
5737	298	263
5736	298	264
5735	297	265
5734	295	266
5733	295	266
5732	294	268
5731	295	267
5730	297	264
5729	297	269
5728	294	267
5727	296	270
5726	293	269
5725	293	262
5724	292	244
5723	292	255
5722	292	260
5721	292	237
5720	288	266
5719	287	266
5718	313	241
5717	305	240
5716	303	239
5715	308	241
5714	298	238
5713	289	227
5712	288	228
5711	293	278
5710	294	276
5709	294	276
5708	294	279
5707	293	278
5706	292	278
5705	292	278
5704	295	276
5703	293	270
5702	292	276
5701	293	271
5700	292	276
5699	292	276
5698	290	276
5697	292	276
5696	292	276
5695	292	276
5694	292	278
5693	290	276
5692	290	276
5691	290	276
5690	292	275
5689	292	275
5688	292	275
5687	292	275
5686	292	278
5685	292	278
5684	292	274
5683	292	274
5682	306	275
5681	298	275
5680	299	275
5679	299	275
5678	298	275
5677	283	269
5676	284	271
5675	284	272
5674	286	273
5673	286	274
5672	279	274
5671	280	273
5670	279	287
5669	279	287
5668	279	287
5667	277	301
5666	284	291
5665	284	291
5664	282	293
5663	284	291
5662	284	276
5661	287	278
5660	277	280
5659	286	279
5658	285	279
5657	288	277
5656	287	278
5655	287	277
5654	295	281
5653	286	289
5652	291	281
5651	291	280
5650	289	281
5649	291	280
5648	293	281
5647	293	280
5646	262	630
5645	265	630
5644	265	624
5643	273	617
5642	272	617
5641	263	625
5640	263	624
5639	263	622
5638	262	621
5637	263	621
5636	261	624
5635	260	628
5634	261	628
5633	276	625
5632	277	627
5631	279	628
5630	269	625
5629	267	627
5628	275	656
5627	269	625
5626	268	625
5625	274	631
5624	277	632
5623	253	628
5622	259	626
5621	258	633
5620	237	622
5619	238	622
5618	241	628
5617	242	629
5616	252	607
5615	252	607
5614	252	590
5613	254	586
5612	249	581
5611	251	585
5610	249	607
5609	247	606
5608	252	607
5607	420	645
5606	421	650
5605	281	636
5604	285	633
5603	282	634
5602	289	636
5601	289	636
5600	280	638
5599	279	634
5598	287	643
5597	288	644
5596	298	639
5595	296	638
5594	297	635
5593	292	643
5592	291	626
5591	289	626
5590	280	624
5589	280	624
5588	283	613
5587	291	630
5586	289	633
5585	288	634
5584	288	634
5583	286	633
5582	286	633
5581	287	633
5580	288	634
5579	300	625
5578	296	625
5577	296	625
5576	296	626
5575	301	627
5574	300	626
5573	300	625
5572	297	619
5571	295	625
5570	295	625
5569	297	618
5568	297	619
5567	296	624
5566	300	628
5565	300	625
5564	300	625
5563	297	619
5562	297	620
5561	295	625
5560	297	627
5559	303	611
5558	303	612
5557	302	605
5556	303	615
5555	303	611
5554	303	615
5553	307	609
5552	307	614
5551	312	622
5550	303	619
5549	307	622
5548	308	622
5547	308	623
5546	294	621
5545	294	626
5544	293	626
5543	291	624
5542	294	628
5541	279	610
5540	280	610
5539	296	616
5538	294	621
5537	298	638
5536	299	630
5535	299	630
5534	302	626
5533	298	634
5532	298	633
5531	298	637
5530	294	629
5529	303	626
5528	298	639
5527	298	639
5526	301	632
5525	299	630
5524	304	632
5523	304	632
5522	302	624
5521	303	633
5520	303	632
5519	303	623
5518	304	623
5517	305	626
5516	307	623
5515	304	626
5514	305	625
5513	304	626
5512	318	579
5511	308	585
5510	310	582
5509	314	566
5508	318	557
5507	305	591
5506	314	565
5505	313	581
5504	310	578
5503	310	578
5502	311	579
5501	310	583
5500	393	641
5499	397	641
5498	394	641
5497	402	644
5496	400	644
5495	390	642
5494	391	639
5493	387	641
5492	391	640
5491	392	641
5490	393	633
5489	392	641
5488	396	641
5487	385	630
5486	383	628
5485	383	628
5484	381	626
5483	378	626
5482	386	630
5481	385	647
5480	380	636
5479	383	638
5478	383	638
5477	370	639
5476	395	653
5475	399	634
5474	397	639
5473	403	645
5472	409	648
5471	406	646
5470	413	652
5469	410	648
5468	412	633
5467	413	662
5466	414	652
5465	272	598
5464	274	598
5463	260	587
5462	264	590
5461	267	592
5460	269	594
5459	270	594
5458	273	598
5457	273	598
5456	355	601
5455	354	600
5454	347	600
5453	347	600
5452	345	599
5451	350	595
5450	348	600
5449	348	600
5448	345	598
5447	336	596
5446	342	602
5445	342	602
5444	342	602
5443	343	602
5442	340	595
5441	345	599
5440	351	604
5439	348	603
5438	344	599
5437	344	600
5436	347	602
5435	337	564
5434	327	626
5433	327	626
5432	329	642
5431	328	642
5430	326	637
5429	330	629
5428	325	621
5427	331	622
5426	337	564
5425	343	624
5424	377	626
5423	374	625
5422	372	623
5421	369	622
5420	363	616
5419	362	616
5418	362	616
5417	371	614
5416	364	610
5415	361	605
5414	360	605
5413	360	605
5412	358	604
5411	358	603
5410	400	614
5409	403	615
5408	400	614
5407	404	597
5406	403	596
5405	409	596
5404	239	608
5403	239	608
5402	240	609
5401	303	650
5400	302	649
5399	303	650
5398	303	650
5397	302	649
5396	301	649
5395	301	649
5394	312	653
5393	311	653
5392	307	652
5391	307	652
5390	305	651
5389	313	658
5388	314	654
5387	314	654
5386	299	669
5385	300	647
5384	298	663
5383	298	664
5382	298	663
5381	298	666
5380	299	645
5379	299	646
5378	301	650
5377	298	651
5376	299	651
5375	300	650
5374	299	644
5373	329	586
5372	329	586
5371	332	589
5370	324	581
5369	330	589
5368	329	586
5367	328	587
5366	328	587
5365	328	587
5364	302	605
5363	303	600
5362	302	600
5361	320	599
5360	249	650
5359	250	651
5358	252	654
5357	257	651
5356	268	659
5355	266	656
5354	265	655
5353	244	637
5352	272	653
5351	263	651
5350	252	627
5349	257	663
5348	240	654
5347	246	646
5346	240	654
5345	270	660
5344	282	662
5343	275	656
5342	276	663
5341	272	670
5340	275	663
5339	275	663
5338	277	672
5337	275	666
5336	433	654
5335	432	654
5334	434	655
5333	434	654
5332	433	654
5331	431	654
5330	437	655
5329	430	653
5328	422	645
5327	422	645
5326	426	649
5325	425	648
5324	426	649
5323	435	655
5322	434	655
5321	433	661
5320	430	628
5319	435	655
5318	435	655
5317	437	655
5316	439	656
5315	428	670
5314	435	675
5313	295	659
5312	294	659
5311	296	661
5310	296	660
5309	296	661
5308	299	644
5307	291	657
5306	297	652
5305	297	652
5304	297	645
5303	299	644
5302	298	645
5301	298	644
5300	297	652
5299	297	652
5298	297	652
5297	297	671
5296	297	668
5295	291	660
5294	295	588
5293	307	585
5292	288	564
5291	288	564
5290	287	564
5289	287	564
5288	287	564
5287	303	585
5286	289	562
5285	289	562
5284	305	591
5283	307	585
5282	289	565
5281	301	575
5280	306	578
5279	299	574
5278	298	573
5277	304	577
5276	302	577
5275	301	583
5274	300	583
5273	300	582
5272	290	561
5271	289	561
5270	249	564
5269	286	563
5268	283	561
5267	283	562
5266	282	561
5265	285	563
5264	285	564
5263	285	563
5262	281	562
5261	286	560
5260	286	560
5259	285	564
5258	285	565
5257	286	563
5256	284	560
5255	286	564
5254	285	563
5253	285	563
5252	287	560
5251	286	563
5250	260	575
5249	259	575
5248	265	563
5247	274	584
5246	281	564
5245	281	564
5244	280	567
5243	290	582
5242	284	584
5241	292	584
5240	293	572
5239	286	569
5238	287	569
5237	286	569
5236	287	568
5235	292	585
5234	286	568
5233	283	580
5232	281	583
5231	282	583
5230	316	620
5229	316	620
5228	311	620
5227	312	618
5226	312	620
5225	313	620
5224	212	630
5223	215	633
5222	215	633
5221	213	631
5220	239	633
5219	241	637
5218	240	634
5217	218	632
5216	215	629
5215	213	630
5214	218	632
5213	219	633
5212	217	636
5211	238	647
5210	218	632
5209	231	626
5208	234	629
5207	225	632
5206	223	639
5205	224	647
5204	223	645
5203	223	646
5202	229	649
5201	214	642
5200	208	634
5199	220	642
5198	207	638
5197	108	453
5196	108	453
5195	107	451
5194	107	450
5193	115	445
5192	120	451
5191	121	452
5190	40	456
5189	39	456
5188	38	443
5187	27	402
5186	29	404
5185	33	404
5184	36	421
5183	36	421
5182	23	399
5181	25	401
5180	29	404
5179	55	412
5178	46	413
5177	56	412
5176	56	413
5175	28	420
5174	29	422
5173	13	404
5172	14	404
5171	14	404
5170	15	406
5169	36	420
5168	41	423
5167	44	424
5166	36	421
5165	39	419
5164	38	419
5163	44	424
5162	168	421
5161	166	427
5160	167	421
5159	166	423
5158	167	424
5157	166	424
5156	166	429
5155	167	428
5154	32	443
5153	32	443
5152	35	444
5151	35	444
5150	26	446
5149	26	446
5148	41	440
5147	41	440
5146	38	443
5145	38	442
5144	37	455
5143	37	454
5142	37	454
5141	106	556
5140	106	556
5139	100	553
5138	101	552
5137	101	551
5136	102	548
5135	102	548
5134	106	541
5133	103	546
5132	103	565
5131	105	531
5130	107	527
5129	106	528
5128	106	535
5127	106	528
5126	106	530
5123	93	579
5122	97	537
5121	97	536
5120	96	557
5119	96	559
5118	79	408
5117	77	405
5116	79	407
5115	77	405
5114	77	407
5113	73	405
5112	71	402
5111	75	405
5110	70	402
5109	69	412
5108	71	413
5107	81	407
5106	79	407
5105	79	408
5104	105	566
5103	127	534
5102	111	564
5101	110	562
5100	110	561
5099	108	558
5098	111	546
5097	109	557
5096	116	544
5095	116	544
5094	113	566
5093	126	531
5092	125	526
5091	122	535
5090	123	536
5089	124	529
5088	124	529
5087	124	528
5086	121	533
5085	122	532
5084	125	529
5083	120	528
5082	119	532
5081	33	466
5080	33	466
5079	49	530
5078	54	520
5077	53	520
5076	51	491
5075	50	490
5074	48	493
5073	53	502
5072	53	502
5071	108	385
5070	108	387
5069	108	387
5068	109	385
5067	108	389
5066	101	382
5065	101	382
5064	108	385
5063	94	372
5062	92	380
5061	96	381
5060	107	385
5059	108	387
5058	108	386
5057	104	375
5056	99	367
5055	58	471
5054	58	471
5053	64	479
5052	65	469
5051	64	470
5050	60	474
5049	65	470
5048	65	470
5047	141	509
5046	141	507
5045	145	512
5044	144	511
5043	143	511
5042	141	512
5041	139	512
5040	142	501
5039	145	495
5038	147	497
5037	151	511
5036	146	492
5035	145	492
5034	145	492
5033	144	494
5032	144	494
5031	144	495
5030	145	495
5029	144	499
5028	145	499
5027	145	497
5026	144	495
5025	139	499
5024	139	496
5023	141	498
5022	142	498
5021	139	496
5020	139	496
5019	141	498
5018	140	497
5017	145	491
5016	146	490
5015	144	492
5014	146	490
5013	148	484
5012	146	487
5011	146	490
5010	148	478
5009	146	491
5008	139	496
5007	140	489
5006	142	493
5005	58	437
5004	63	430
5003	56	439
5002	54	434
5001	55	438
5000	56	436
4999	56	435
4998	56	435
4997	57	435
4996	55	435
4995	55	435
4994	57	436
4993	57	436
4992	44	424
4991	45	424
4990	46	413
4989	46	413
4988	57	413
4987	65	414
4986	63	413
4985	36	480
4984	53	464
4983	128	476
4982	122	475
4981	127	483
4980	120	482
4979	120	483
4978	119	472
4977	114	471
4976	114	468
4975	122	468
4974	120	474
4973	119	472
4972	110	479
4971	109	479
4970	111	481
4969	107	478
4968	108	463
4967	105	468
4966	114	488
4965	112	489
4964	112	492
4963	114	484
4962	120	478
4961	60	441
4960	52	436
4959	53	437
4958	53	437
4957	54	437
4956	55	438
4955	46	458
4954	47	457
4953	56	439
4952	56	439
4951	55	459
4950	50	434
4949	66	441
4948	50	434
4947	48	436
4946	45	459
4945	44	459
4944	50	463
4943	78	506
4942	75	494
4941	75	494
4940	75	495
4939	79	499
4938	79	499
4937	79	498
4936	78	498
4935	78	498
4934	76	496
4933	81	498
4932	81	498
4931	76	496
4930	67	519
4929	67	519
4928	62	514
4927	59	511
4926	60	511
4925	62	514
4924	65	522
4923	66	522
4922	65	522
4921	77	526
4920	73	524
4919	75	524
4918	77	526
4917	75	522
4916	80	439
4915	80	435
4914	79	439
4913	85	430
4912	85	430
4911	82	433
4910	135	464
4909	136	463
4908	128	473
4907	133	461
4906	133	461
4905	129	474
4904	129	474
4903	109	457
4902	111	461
4901	109	457
4900	111	461
4899	124	459
4898	111	461
4897	124	460
4896	114	454
4895	114	460
4894	114	461
4893	114	454
4892	122	459
4891	111	461
4890	76	464
4889	76	464
4888	76	464
4887	224	395
4886	218	390
4885	214	369
4884	212	389
4883	214	390
4882	213	389
4881	209	386
4880	207	386
4879	212	389
4878	211	388
4877	11	470
4876	25	503
4875	21	456
4874	20	499
4873	135	499
4872	136	499
4871	136	499
4870	139	502
4869	139	502
4868	137	499
4867	134	500
4866	137	499
4865	134	500
4864	134	497
4863	134	499
4862	134	497
4861	137	498
4860	135	503
4859	81	531
4858	82	532
4857	90	575
4856	91	554
4855	92	554
4854	93	555
4853	94	555
4852	92	538
4851	93	539
4850	88	548
4849	94	538
4848	125	352
4847	0	438
4846	86	473
4845	83	475
4844	87	477
4843	88	479
4842	86	474
4841	86	471
4840	85	469
4839	83	474
4838	89	463
4837	100	465
4836	98	462
4835	98	462
4834	91	460
4833	99	464
4832	95	460
4831	89	457
4830	90	458
4829	91	470
4828	90	468
4827	91	470
4826	79	480
4825	79	480
4824	80	482
4823	79	479
4822	78	479
4821	80	478
4820	117	370
4819	102	373
4818	117	371
4817	116	371
4816	112	365
4815	112	365
4814	122	376
4813	120	375
4812	117	372
4811	117	372
4810	110	358
4809	109	355
4808	123	385
4807	123	385
4806	133	384
4805	135	378
4804	125	378
4803	128	379
4802	142	381
4801	131	381
4800	137	382
4799	136	378
4798	134	380
4797	145	422
4796	144	421
4795	144	421
4794	146	422
4793	142	419
4792	142	419
4791	149	425
4790	147	423
4789	145	403
4788	144	421
4787	145	421
4786	156	440
4785	138	414
4784	152	442
4783	155	441
4782	134	412
4781	155	441
4780	155	441
4779	171	418
4778	177	402
4777	174	397
4776	176	399
4775	182	403
4774	176	399
4773	188	402
4772	178	399
4771	179	400
4770	179	400
4769	174	397
4768	170	394
4767	172	394
4766	176	396
4765	176	396
4764	173	397
4763	174	397
4762	134	544
4761	131	548
4760	136	540
4759	136	538
4758	136	539
4757	136	539
4756	136	539
4755	133	545
4754	130	540
4753	136	539
4752	135	539
4751	136	543
4750	136	542
4749	136	541
4748	143	531
4747	146	516
4746	149	521
4745	136	540
4744	136	540
4743	124	566
4742	127	552
4741	151	527
4740	151	528
4739	138	537
4738	143	535
4737	139	532
4736	130	540
4735	117	563
4734	119	556
4733	122	553
4732	125	539
4731	125	537
4730	132	540
4729	132	540
4728	131	539
4727	135	543
4726	136	534
4725	132	539
4724	135	540
4723	131	539
4722	132	539
4721	132	539
4720	135	539
4719	132	539
4718	132	539
4717	132	539
4716	132	540
4715	140	526
4714	139	527
4713	140	526
4712	140	526
4711	139	527
4710	191	384
4709	189	387
4708	191	388
4707	193	387
4706	192	386
4705	192	386
4704	189	395
4703	193	388
4702	191	394
4701	190	386
4700	190	386
4699	193	390
4698	185	378
4697	188	385
4696	190	403
4695	196	392
4694	195	391
4693	195	391
4692	182	389
4691	186	393
4690	197	402
4689	198	372
4688	197	372
4687	197	375
4686	182	377
4685	183	377
4684	199	379
4683	203	382
4682	198	379
4681	198	380
4680	200	371
4679	199	373
4678	188	381
4677	203	370
4676	189	378
4675	198	379
4674	190	382
4673	191	383
4672	207	397
4671	203	382
4670	192	383
4669	207	397
4668	194	357
4667	194	360
4666	191	383
4665	191	383
4664	192	382
4663	194	385
4662	194	385
4661	194	384
4660	195	385
4659	194	385
4658	193	384
4657	172	477
4656	168	482
4655	165	482
4654	165	482
4653	168	482
4652	164	482
4651	172	477
4650	172	476
4649	171	477
4648	173	481
4647	181	487
4646	179	487
4645	171	453
4644	168	453
4643	182	477
4642	175	481
4641	175	480
4640	175	481
4639	167	452
4638	155	489
4637	156	491
4636	156	487
4635	153	483
4634	157	491
4633	152	483
4632	149	489
4631	153	486
4630	155	486
4629	155	486
4628	155	486
4627	149	490
4626	155	488
4625	155	489
4624	154	489
4623	150	490
4622	150	489
4621	152	487
4620	152	487
4619	152	486
4618	159	505
4617	163	504
4616	162	504
4615	159	485
4614	159	485
4613	57	385
4612	60	391
4611	61	395
4610	61	394
4609	57	387
4608	64	395
4607	63	395
4606	93	486
4605	106	492
4604	93	486
4603	93	486
4602	102	495
4601	97	488
4600	97	488
4599	111	488
4598	111	486
4597	105	469
4596	107	477
4595	106	474
4594	104	468
4593	102	477
4592	109	488
4591	92	478
4590	106	486
4589	103	468
4588	103	468
4587	95	484
4586	95	484
4585	102	478
4584	104	486
4583	103	487
4582	102	487
4581	93	487
4580	91	489
4579	93	488
4578	92	490
4577	92	487
4576	91	489
4575	91	489
4574	95	490
4573	93	491
4572	91	492
4571	92	487
4570	93	487
4569	98	492
4568	89	502
4567	89	499
4566	101	494
4565	105	497
4564	99	493
4563	90	486
4562	89	490
4561	80	509
4560	84	509
4559	85	499
4558	92	485
4557	90	490
4556	90	490
4555	91	486
4554	89	490
4553	87	512
4552	152	396
4551	152	397
4550	146	385
4549	165	412
4548	164	411
4547	157	393
4546	161	424
4545	155	410
4544	155	409
4543	162	407
4542	68	553
4541	72	549
4540	74	549
4539	81	546
4538	76	542
4537	75	541
4536	84	548
4535	81	545
4534	76	536
4533	76	542
4532	76	538
4531	71	441
4530	69	441
4529	69	441
4528	73	442
4527	72	442
4526	72	443
4525	68	443
4524	73	442
4523	70	442
4522	70	444
4521	71	444
4520	73	444
4519	75	445
4518	74	440
4517	75	438
4516	76	441
4515	77	443
4514	77	443
4513	87	456
4512	76	446
4511	79	452
4510	84	466
4509	78	453
4508	78	453
4507	82	451
4506	79	452
4505	75	450
4504	81	457
4503	81	458
4502	75	455
4501	76	454
4500	139	330
4499	139	329
4498	141	330
4497	135	322
4496	116	435
4495	124	428
4494	126	430
4493	124	424
4492	125	429
4491	124	427
4490	124	424
4489	124	424
4488	126	431
4487	126	431
4486	126	431
4485	132	398
4484	133	412
4483	133	413
4482	133	403
4481	132	403
4480	104	404
4479	105	407
4478	106	409
4477	104	404
4476	104	406
4475	106	408
4474	105	408
4473	104	404
4472	91	410
4471	104	404
4470	100	408
4469	99	408
4468	98	410
4467	98	412
4466	98	392
4465	98	392
4464	91	391
4463	93	385
4462	91	391
4461	98	418
4460	98	419
4459	102	422
4458	106	417
4457	104	418
4456	103	417
4455	101	420
4454	98	419
4453	102	421
4452	103	421
4451	101	419
4450	102	420
4449	102	420
4448	86	419
4447	83	414
4446	83	414
4445	92	424
4444	88	421
4443	90	422
4442	86	419
4441	92	424
4440	84	411
4439	83	414
4438	95	411
4437	94	413
4436	92	411
4435	94	413
4434	93	412
4433	92	410
4432	98	423
4431	93	410
4430	93	410
4429	99	424
4428	107	412
4427	107	412
4426	108	409
4425	108	409
4424	108	409
4423	109	408
4422	108	409
4421	108	409
4420	108	411
4419	108	409
4418	107	413
4417	107	414
4416	107	413
4415	110	416
4414	108	412
4413	108	412
4412	108	412
4411	108	412
4410	108	412
4409	107	404
4408	109	400
4407	106	410
4406	102	413
4405	123	396
4404	120	399
4403	114	406
4402	113	407
4401	116	404
4400	102	413
4399	104	414
4398	104	414
4397	107	415
4396	107	415
4395	107	403
4394	107	402
4393	106	416
4392	106	416
4391	107	416
4390	107	416
4389	109	417
4388	106	430
4387	106	429
4386	107	426
4385	106	428
4384	101	424
4383	100	424
4382	98	425
4381	96	429
4380	98	426
4379	94	427
4378	107	419
4377	106	419
4376	106	417
4375	111	416
4374	108	419
4373	105	419
4372	106	420
4371	109	417
4370	109	418
4369	105	419
4368	106	418
4367	108	419
4366	108	419
4365	108	419
4364	107	417
4363	108	426
4362	108	423
4361	108	423
4360	106	417
4359	105	417
4358	106	417
4357	104	444
4356	104	444
4355	105	447
4354	105	448
4353	105	447
4352	113	425
4351	112	419
4350	111	417
4349	124	418
4348	119	416
4347	111	416
4346	112	416
4345	119	418
4344	120	418
4343	108	431
4342	119	416
4341	119	417
4340	125	395
4339	124	408
4338	125	389
4337	133	394
4336	119	403
4335	117	403
4334	122	401
4333	127	401
4332	126	400
4331	122	401
4330	120	403
4329	165	364
4328	161	352
4327	155	361
4326	163	364
4325	164	363
4324	164	363
4323	160	359
4322	159	364
4321	164	361
4320	163	357
4319	160	365
4318	163	364
4317	163	364
4316	164	363
4315	160	325
4314	128	354
4313	165	386
4312	165	386
4311	159	374
4310	159	366
